לָלֶכֶת	הוּא בְּקֹשִׁי הִצְלִיחַ לָלֶכֶת עִם שְׁרִיר הַיָּרֵךְ הָאֲחוֹרִי הַמָּתוּחַ שֶׁלּוֹ מֵהַמַּרָתוֹן.	הוּא בְּקֹשִׁי הִצְלִיחַ לָלֶכֶת עִם שְׁרִיר הַיָּרֵךְ הָאֲחוֹרִי הַמָּתוּחַ שֶׁלּוֹ מֵהַמַּרָתוֹן.	He could hardly walk with his pulled hamstring from the marathon.
לָלֶכֶת	הִתְכַּוְּצוּת הַשְּׁרִירִים שֶׁל לִיסָה הָיְתָה כׇּל כָּךְ כּוֹאֶבֶת שֶׁהִיא לֹא יָכְלָה לָלֶכֶת לְמֶשֶׁךְ מִסְפַּר דַּקּוֹת.	הִתְכַּוְּצוּת הַשְּׁרִירִים שֶׁל לִיסָה הָיְתָה כׇּל כָּךְ כּוֹאֶבֶת שֶׁהִיא לֹא יָכְלָה לָלֶכֶת לְמֶשֶׁךְ מִסְפַּר דַּקּוֹת.	Lisa's charley horse was so painful that she couldn't walk for several minutes.
לָלֶכֶת	הַגַּרְעִינִים הַבָּזָלִיִּים מְתָאֲמִים תְּנוּעוֹת שְׁרִירִים כְּדֵי לַעֲזֹר לָנוּ לָלֶכֶת בְּצוּרָה חֲלָקָה.	הַגַּרְעִינִים הַבָּזָלִיִּים מְתָאֲמִים תְּנוּעוֹת שְׁרִירִים כְּדֵי לַעֲזֹר לָנוּ לָלֶכֶת בְּצוּרָה חֲלָקָה.	The basal ganglia coordinate muscle movements to help us walk smoothly.
לָלֶכֶת	חֲרָקִים מְסֻיָּמִים יְכוֹלִים לָלֶכֶת עַל פְּנֵי נוֹזְלִים בִּגְלַל מֶתַח הַפָּנִים הַגָּבוֹהַּ.	חֲרָקִים מְסֻיָּמִים יְכוֹלִים לָלֶכֶת עַל פְּנֵי נוֹזְלִים בִּגְלַל מֶתַח הַפָּנִים הַגָּבוֹהַּ.	Some insects can walk on liquid surfaces due to the high surface tension.
לָלֶכֶת	הוּא הִתְאַמֵּץ יָתֵר עַל הַמִּדָּה בַּטִּיּוּל הָאַחֲרוֹן וְלֹא הִצְלִיחַ לָלֶכֶת לְמׇחֳרָת.	הוּא הִתְאַמֵּץ יָתֵר עַל הַמִּדָּה בַּטִּיּוּל הָאַחֲרוֹן וְלֹא הִצְלִיחַ לָלֶכֶת לְמׇחֳרָת.	He overstrained on the last hike and couldn't walk the next day.
לָלֶכֶת	הִיא מַעֲדִיפָה לִנְהֹג בְּרֶכֶב הַגּוֹלְף מֵאֲשֶׁר לָלֶכֶת אֶת כׇּל הַמִּגְרָשׁ.	הִיא מַעֲדִיפָה לִנְהֹג בְּרֶכֶב הַגּוֹלְף מֵאֲשֶׁר לָלֶכֶת אֶת כׇּל הַמִּגְרָשׁ.	She prefers to drive the golf buggy rather than walk the course.
לָלֶכֶת	פּוֹלִיטִיקָאִים לְעִתִּים קְרוֹבוֹת הוֹלְכִים עַל חֶבֶל דַּק בֵּין רִצּוּי הַבּוֹחֲרִים לְבֵין דְּבֵקוּת בִּמְדִינִיּוּת הַמִּפְלָגָה.	פּוֹלִיטִיקָאִים לְעִתִּים קְרוֹבוֹת הוֹלְכִים עַל חֶבֶל דַּק בֵּין רִצּוּי הַבּוֹחֲרִים לְבֵין דְּבֵקוּת בִּמְדִינִיּוּת הַמִּפְלָגָה.	Politicians often walk the line between appeasing voters and adhering to party policies.
לָלֶכֶת	אֲנַחְנוּ בְּדֶרֶךְ כְּלָל הוֹלְכִים חֲצִי שָׁעָה אַחֲרֵי אֲרוּחַת הָעֶרֶב כְּדֵי לַעֲזֹר לְעִכּוּל.	אֲנַחְנוּ בְּדֶרֶךְ כְּלָל הוֹלְכִים חֲצִי שָׁעָה אַחֲרֵי אֲרוּחַת הָעֶרֶב כְּדֵי לַעֲזֹר לְעִכּוּל.	We usually walk for a half-hour after dinner to digest our meal.
לָלֶכֶת	אֲנַחְנוּ הוֹלְכִים הַצִּדָּה וְאָז הוּא מְסַפֵּר לִי אֶת הַסִּפּוּר שֶׁלּוֹ.	אֲנַחְנוּ הוֹלְכִים הַצִּדָּה וְאָז הוּא מְסַפֵּר לִי אֶת הַסִּפּוּר שֶׁלּוֹ.	We walk a few steps and he tells me his story.
לָלֶכֶת	אֶפְשָׁר לִרְאוֹת אֶת זֶה בְּהִתְנַהֲלוּת וְגַם בְּאֵיךְ שֶׁאֲנָשִׁים הוֹלְכִים וּמְדַבְּרִים.	אֶפְשָׁר לִרְאוֹת אֶת זֶה בְּהִתְנַהֲלוּת וְגַם בְּאֵיךְ שֶׁאֲנָשִׁים הוֹלְכִים וּמְדַבְּרִים.	One can feel it in how people walk and talk here.
